Значение X,Значение Y,Значение Z,Рост/падение,Предсказанные рост/падение
148.257782,142.206238,147.4031273392967,Падение,Падение
142.206238,136.712997,144.11807409838116,Падение,Рост
136.712997,131.478958,139.4925830369196,Падение,Рост
131.478958,132.356277,134.34123585406726,Рост,Рост
132.356277,135.018158,132.71276394418453,Рост,Рост
135.018158,129.66449,133.6139399893487,Падение,Падение
129.66449,131.159927,130.77886242885327,Рост,Рост
131.159927,135.456833,130.72735903775964,Рост,Падение
135.456833,134.938416,133.3338121954096,Падение,Падение
134.938416,137.849533,134.1592827545065,Рост,Падение
137.849533,141.229218,136.42727315470432,Рост,Падение
141.229218,141.229218,139.45184353797947,Падение,Падение
141.229218,137.022064,140.74105289656583,Падение,Падение
137.022064,138.80661,138.7450840464485,Рост,Рост
138.80661,136.304245,138.98693837246722,Падение,Рост
136.304245,138.507507,137.4152518255243,Рост,Рост
138.507507,141.129517,138.09177744350646,Рост,Падение
141.129517,142.485397,139.8992032260341,Рост,Падение
142.485397,145.904968,141.48701894883547,Рост,Падение
145.904968,146.59285,144.27894929767226,Рост,Падение
146.59285,144.429443,145.85974183077906,Падение,Падение
144.429443,145.416443,145.2123587009958,Рост,Рост
145.416443,145.047577,145.52101247537885,Падение,Рост
145.047577,148.018509,145.31388253209684,Рост,Рост
148.018509,149.713348,146.9890007517067,Рост,Падение
149.713348,146.62277199999997,148.65060578782354,Падение,Падение
146.62277199999997,150.540817,147.4680772643963,Рост,Рост
150.540817,152.574615,149.40626100926852,Рост,Падение
152.574615,154.877594,151.32980686055427,Рост,Падение
154.877594,153.621414,153.52248334042108,Падение,Падение
153.621414,156.313202,153.64707622521644,Рост,Рост
156.313202,156.871521,155.33691565027152,Рост,Падение
156.871521,162.015808,156.27339926118378,Рост,Падение
162.015808,161.01886,159.74379639431214,Падение,Падение
161.01886,159.52340699999996,160.4761159641147,Падение,Падение
159.52340699999996,165.624817,159.89740679951822,Рост,Рост
165.624817,165.076172,163.29893001899873,Падение,Падение
165.076172,164.596954,164.20386342899357,Падение,Падение
164.596954,164.646866,164.31030265976227,Рост,Падение
164.646866,168.959732,164.34311086974716,Рост,Падение
168.959732,168.210968,166.8978690190283,Падение,Падение
168.210968,171.814987,167.38756779371147,Рост,Падение
171.814987,171.235947,169.7859329217035,Падение,Падение
171.235947,167.292496,170.33151729125177,Падение,Падение
167.292496,163.349014,168.17933037474876,Падение,Рост
163.349014,161.112747,164.91344719253695,Падение,Рост
161.112747,158.646835,162.1871499260417,Падение,Рост
158.646835,156.959625,159.53675809407477,Падение,Рост
156.959625,157.69840999999997,157.4573107614667,Рост,Рост
157.69840999999997,155.551956,157.11039185034906,Падение,Падение
155.551956,154.274078,155.70022200400985,Падение,Рост
154.274078,155.701721,154.46104141661678,Рост,Рост
155.701721,154.204208,154.88429065274244,Падение,Падение
154.204208,157.109375,154.1564365985701,Рост,Падение
157.109375,163.159332,155.70682030322467,Рост,Падение
163.159332,153.58522,159.99633130062554,Падение,Падение
153.58522,155.05278,155.91889063973193,Рост,Рост
155.05278,152.117645,155.34692973569608,Падение,Рост
152.117645,150.450424,153.16210956411157,Падение,Рост
150.450424,154.224152,151.2563174699304,Рост,Рост
154.224152,156.640152,152.76931914355342,Рост,Падение
156.640152,153.465424,154.82246492234682,Падение,Падение
153.465424,152.487045,153.8027860892636,Падение,Рост
152.487045,150.180862,152.9017433430735,Падение,Рост
150.180862,150.520309,151.10191560206596,Рост,Рост
150.520309,151.508667,150.56411256012714,Рост,Рост
