Значение X,Значение Y,Значение Z,Рост/падение,Предсказанные рост/падение
166.753021,165.945343,166.3283688197997,Падение,Падение
165.945343,161.328537,165.88504390348908,Падение,Падение
161.328537,162.415436,162.3049730391868,Рост,Рост
162.415436,156.352783,162.22210646435389,Падение,Падение
156.352783,156.123444,157.52367461117203,Падение,Рост
156.123444,163.173264,156.21555045267314,Рост,Рост
163.173264,157.200348,161.16793811913857,Падение,Падение
157.200348,157.509476,157.99562162956246,Рост,Рост
157.509476,159.025131,157.6470254967298,Рост,Рост
159.025131,165.546478,158.64366816164818,Рост,Падение
165.546478,156.322876,163.83181219857426,Падение,Падение
156.322876,157.061829,158.22411591567976,Рост,Рост
157.061829,151.849075,157.46795037815406,Падение,Рост
151.849075,154.29567,153.1112225135277,Рост,Рост
154.29567,146.296783,153.8218452120318,Падение,Падение
146.296783,142.362244,147.88609251215513,Падение,Рост
142.362244,146.905945,143.49140557986465,Рост,Рост
146.905945,145.33812,145.71647444553787,Падение,Падение
145.33812,149.03299,145.18023023520365,Рост,Падение
149.03299,140.62468,148.0828202056298,Падение,Падение
140.62468,137.159485,142.6359593876114,Падение,Рост
137.159485,137.399139,138.69258325175662,Рост,Рост
137.399139,142.911484,137.6706801140558,Рост,Рост
142.911484,140.165298,141.4917106362719,Падение,Падение
140.165298,140.325089,140.59060097236676,Рост,Рост
140.325089,143.580551,140.64623674145588,Рост,Рост
143.580551,149.432434,143.09376021955666,Рост,Падение
149.432434,148.633545,148.14677158403344,Падение,Падение
148.633545,148.503723,148.97506739229638,Падение,Рост
148.503723,151.000259,149.13035375617923,Рост,Рост
151.000259,145.178345,150.91815346358234,Падение,Падение
145.178345,145.937286,146.8804104421405,Рост,Рост
145.937286,148.503723,146.2999986047699,Рост,Рост
148.503723,142.442139,147.89487456764013,Падение,Падение
142.442139,136.939789,143.74651142422363,Падение,Рост
136.939789,131.697067,138.5834509322222,Падение,Рост
131.697067,132.575836,133.19016708640268,Рост,Рост
132.575836,135.242142,132.33641779314883,Рост,Падение
135.242142,129.879593,134.13020087901427,Падение,Падение
129.879593,131.377502,130.8659542829829,Рост,Рост
131.377502,135.681534,131.3047192858686,Рост,Падение
135.681534,135.162262,134.66321213485676,Падение,Падение
135.162262,138.078201,135.3532227379322,Рост,Рост
138.078201,141.463501,137.85347071764446,Рост,Падение
141.463501,141.463501,141.06519386644817,Падение,Падение
141.463501,137.249359,141.94628655590077,Падение,Рост
137.249359,139.036865,138.99467952670068,Рост,Рост
139.036865,136.53035,139.36675881156285,Падение,Рост
136.53035,138.737274,137.39057918870105,Рост,Рост
138.737274,141.363632,138.46204625309974,Рост,Падение
141.363632,142.721756,140.68372132077423,Рост,Падение
142.721756,146.147003,142.39277204712494,Рост,Падение
146.147003,146.836029,145.50078330258185,Рост,Падение
146.836029,144.669037,146.87731420462973,Падение,Рост
144.669037,145.657669,145.63379284073807,Рост,Рост
145.657669,145.288193,145.95883344196304,Падение,Рост
145.288193,148.264053,145.62955461432728,Рост,Рост
148.264053,149.9617,147.72933443018277,Рост,Падение
149.9617,146.865997,149.5336688501108,Падение,Падение
146.865997,150.790543,147.71680472098348,Рост,Рост
150.790543,152.827713,150.17992197709287,Рост,Падение
152.827713,155.134521,152.2816479993837,Рост,Падение
155.134521,153.876251,154.61504496705612,Падение,Падение
153.876251,156.57251,154.2917414757073,Рост,Рост
156.57251,157.131744,156.2137972584463,Рост,Падение
157.131744,162.284576,157.03453342187782,Рост,Падение
162.284576,161.285965,161.1010191780298,Падение,Падение
161.285965,159.78804,161.34375615669651,Падение,Рост
159.78804,165.899567,160.28859862391283,Рост,Рост
165.899567,165.350006,164.52530506357738,Падение,Падение
165.350006,164.869995,165.0857803482489,Падение,Падение
164.869995,164.919998,164.9157687612955,Рост,Рост
164.919998,169.240005,164.83956110765453,Рост,Падение
169.240005,168.490005,168.00204201677442,Падение,Падение
168.490005,172.100006,168.1949014239045,Рост,Падение
172.100006,173.029999,171.0090998450305,Рост,Падение
173.029999,171.520004,172.3601772620875,Падение,Падение
171.520004,167.570007,171.5631092207186,Падение,Рост
167.570007,163.619995,168.3387437722606,Падение,Рост
163.619995,161.380005,164.4597935031553,Падение,Рост
161.380005,158.910004,161.69878602981123,Падение,Рост
158.910004,157.220001,159.0862612400017,Падение,Рост
157.220001,157.96000700000002,157.2022610310311,Рост,Падение
157.96000700000002,155.809998,157.3822609997724,Падение,Падение
155.809998,154.529999,155.91047857284863,Падение,Рост
154.529999,155.960007,154.72010794586214,Рост,Рост
155.960007,154.460007,155.56931341004176,Падение,Падение
154.460007,157.369995,154.7114465230074,Рост,Рост
157.369995,163.429993,156.77126476953597,Рост,Падение
163.429993,153.83999600000004,161.88117452463223,Падение,Падение
153.83999600000004,155.309998,156.00284295677295,Рост,Рост
155.309998,152.369995,155.67565509472885,Падение,Рост
152.369995,150.699997,153.1147691128582,Падение,Рост
150.699997,154.479996,151.1680238517868,Рост,Рост
154.479996,156.899994,153.48674384944076,Рост,Падение
156.899994,153.72000100000002,155.94491516770836,Падение,Падение
153.72000100000002,152.740005,154.32693403505016,Падение,Рост
152.740005,150.42999300000002,153.250529074985,Падение,Рост
150.42999300000002,150.770004,151.15493923248818,Рост,Рост
150.770004,151.759995,150.83165182549007,Рост,Рост
151.759995,149.839996,151.46603470165178,Падение,Падение
149.839996,142.479996,150.22572216572578,Падение,Рост
142.479996,138.199997,144.40662926151356,Падение,Рост
138.199997,142.449997,139.6373217169495,Рост,Рост
142.449997,146.100006,141.44492930224598,Рост,Падение
146.100006,146.399994,144.70772026453855,Рост,Падение
146.399994,145.429993,146.06010051400264,Падение,Падение
145.429993,140.089996,145.8930645319297,Падение,Рост
140.089996,140.419998,141.87051317972882,Рост,Рост
140.419998,138.979996,140.9707063482308,Падение,Рост
138.979996,138.339996,139.50239814105936,Падение,Рост
138.339996,142.990005,138.63479217967304,Рост,Рост
142.990005,138.380005,141.90363890000606,Падение,Падение
138.380005,142.410004,139.4068731822215,Рост,Рост
142.410004,143.75,141.8687519433266,Рост,Падение
143.75,143.860001,143.48341165756418,Рост,Падение
143.860001,143.389999,144.07579829403474,Падение,Рост
143.389999,147.270004,143.897841037833,Рост,Рост
147.270004,149.449997,146.7174840116727,Рост,Падение
