Value X,Value Y,Value Z,Real,Prediction
166.753021,165.945343,165.4722872956936,Падение,Падение
165.945343,161.328537,165.33569094733014,Падение,Падение
161.328537,162.415436,162.8932983771043,Рост,Рост
162.415436,156.352783,162.00118790741868,Падение,Падение
156.352783,156.123444,158.41864809528317,Падение,Рост
156.123444,163.173264,156.28751987990333,Рост,Рост
163.173264,157.200348,158.89150387948843,Падение,Падение
157.200348,157.509476,157.60827025370577,Рост,Рост
157.509476,159.025131,157.09684419650955,Рост,Падение
159.025131,165.546478,157.63357093736496,Рост,Падение
165.546478,156.322876,161.37438880261448,Падение,Падение
156.322876,157.061829,158.8703610004865,Рост,Рост
157.061829,151.849075,157.64080889518226,Падение,Рост
151.849075,154.29567,154.14817256131317,Рост,Рост
154.29567,146.296783,153.40365209369799,Падение,Падение
146.296783,142.362244,148.95797776967217,Падение,Рост
142.362244,146.905945,144.43987561442108,Рост,Рост
146.905945,145.33812,144.44562576979817,Падение,Падение
145.33812,149.03299,144.02268776800634,Рост,Падение
149.03299,140.62468,146.02938744633116,Падение,Падение
140.62468,137.159485,143.00634981564951,Падение,Рост
137.159485,137.399139,139.42124454957653,Рост,Рост
137.399139,142.911484,137.52961231619634,Рост,Рост
142.911484,140.165298,139.54977459606135,Падение,Падение
140.165298,140.325089,139.58306115984567,Рост,Падение
140.325089,143.580551,139.80847529280294,Рост,Падение
143.580551,149.432434,141.69698716214634,Рост,Падение
149.432434,148.633545,145.87828301363166,Падение,Падение
148.633545,148.503723,147.8805192846358,Падение,Падение
148.503723,151.000259,148.7719863802932,Рост,Рост
151.000259,145.178345,150.33180650080158,Падение,Падение
145.178345,145.937286,147.9850273533425,Рост,Рост
145.937286,148.503723,146.77886993613888,Рост,Рост
148.503723,142.442139,147.3484570054849,Падение,Падение
142.442139,136.939789,144.54844498168083,Падение,Рост
136.939789,131.697067,140.02629761222738,Падение,Рост
131.697067,132.575836,134.68634947334613,Рост,Рост
132.575836,135.242142,132.26617743361945,Рост,Падение
135.242142,129.879593,132.6661550247797,Падение,Падение
129.879593,131.377502,130.5187735730123,Рост,Рост
131.377502,135.681534,130.33989950882037,Рост,Падение
135.681534,135.162262,132.73980526665855,Падение,Падение
135.162262,138.078201,134.0628557026118,Рост,Падение
138.078201,141.463501,136.4094177113364,Рост,Падение
141.463501,141.463501,139.5027278702488,Падение,Падение
141.463501,137.249359,141.17650561550315,Падение,Падение
137.249359,139.036865,139.71192093551994,Рост,Рост
139.036865,136.53035,139.51482330197908,Падение,Рост
136.53035,138.737274,137.93123855330384,Рост,Рост
138.737274,141.363632,138.11315255977905,Рост,Падение
141.363632,142.721756,139.65015702881217,Рост,Падение
142.721756,146.147003,141.33394728238048,Рост,Падение
146.147003,146.836029,144.10121961032422,Рост,Падение
146.836029,144.669037,145.99411446523476,Падение,Падение
144.669037,145.657669,145.79408947986556,Рост,Рост
145.657669,145.288193,145.95675051854673,Падение,Рост
145.288193,148.264053,145.68911496498842,Рост,Рост
148.264053,149.9617,146.99468975390053,Рост,Падение
149.9617,146.865997,148.61225269344038,Падение,Падение
146.865997,150.790543,147.88442778185714,Рост,Рост
150.790543,152.827713,149.3813098380563,Рост,Падение
152.827713,155.134521,151.26070992272523,Рост,Падение
155.134521,153.876251,153.48864984499932,Падение,Падение
153.876251,156.57251,154.0240576690969,Рост,Рост
156.57251,157.131744,155.54590263759042,Рост,Падение
157.131744,162.284576,156.56732324477008,Рост,Падение
162.284576,161.285965,159.67297010067333,Падение,Падение
161.285965,159.78804,160.8532236710663,Падение,Падение
159.78804,165.899567,160.56648795104564,Рост,Рост
165.899567,165.350006,163.32327328232964,Падение,Падение
165.350006,164.869995,164.54876408908083,Падение,Падение
164.869995,164.919998,164.86689646167792,Рост,Падение
164.919998,169.240005,164.89778645720716,Рост,Падение
169.240005,168.490005,166.98599358273032,Падение,Падение
168.490005,172.100006,167.7697518238907,Рост,Падение
172.100006,173.029999,169.954722403256,Рост,Падение
173.029999,171.520004,171.60350506751456,Падение,Падение
171.520004,167.570007,171.65982442150863,Падение,Рост
167.570007,163.619995,169.49598867896987,Падение,Рост
163.619995,161.380005,166.03299580345038,Падение,Рост
161.380005,158.910004,162.79959094989613,Падение,Рост
158.910004,157.220001,159.7413125068195,Падение,Рост
157.220001,157.96000700000002,157.30142909530366,Рост,Рост
157.96000700000002,155.809998,156.54687199284848,Падение,Падение
155.809998,154.529999,155.28725823607633,Падение,Падение
154.529999,155.960007,154.11257789320268,Рост,Падение
155.960007,154.460007,154.35398791293622,Падение,Падение
154.460007,157.369995,153.8905736425949,Рост,Падение
157.369995,163.429993,155.23886042480453,Рост,Падение
163.429993,153.83999600000004,159.25144752174356,Падение,Падение
153.83999600000004,155.309998,156.6824711114682,Рост,Рост
155.309998,152.369995,155.75249003804734,Падение,Рост
152.369995,150.699997,153.5923295696447,Падение,Рост
150.699997,154.479996,151.46728928100677,Рост,Рост
154.479996,156.899994,152.30260590835252,Рост,Падение
156.899994,153.72000100000002,154.24336779096157,Падение,Падение
153.72000100000002,152.740005,153.86027876804175,Падение,Рост
152.740005,150.42999300000002,153.10232786758777,Падение,Рост
150.42999300000002,150.770004,151.40467290371163,Рост,Рост
150.770004,151.759995,150.58284300443216,Рост,Падение
151.759995,149.839996,150.69763701541478,Падение,Падение
149.839996,142.479996,149.87437560892255,Падение,Рост
142.479996,138.199997,145.60064299393477,Падение,Рост
138.199997,142.449997,140.87507684111335,Рост,Рост
142.449997,146.100006,140.5157765728864,Рост,Падение
146.100006,146.399994,142.5901270302771,Рост,Падение
146.399994,145.429993,144.29245449803307,Падение,Падение
145.429993,140.089996,144.91922947631122,Падение,Падение
140.089996,140.419998,142.45049073963037,Рост,Рост
140.419998,138.979996,141.07335667443104,Падение,Рост
138.979996,138.339996,139.52052520430405,Падение,Рост
138.339996,142.990005,138.37909121433796,Рост,Рост
142.990005,138.380005,140.30589188053497,Падение,Падение
138.380005,142.410004,139.18982291163087,Рост,Рост
142.410004,143.75,140.69157048391833,Рост,Падение
143.75,143.860001,142.30955965875185,Рост,Падение
143.860001,143.389999,143.30249488083268,Падение,Падение
143.389999,147.270004,143.5583566896748,Рост,Рост
147.270004,149.449997,145.6285171737068,Рост,Падение
